Name,Formula,Dielectric constant(εrel),nD
butyl octadecanoate,C22H44O2,3.11,1.443
butyl prop-2-enoate,C7H12O2,5.25,1.4185
butyric anhydride,C8H14O3,12.8,1.413
calcium difluoride,CaF2,6.8,1.434
camphene,C10H16,2.7,1.4556
carbon disulfide,CS2,2.64,1.6276
carvenone,C10H16O,19,1.4846
cedrene,C15H24,3.27,1.5001
cesium iodide,CsI,6.42,1.7876
chloroacetone,C3H5ClO,30,1.434
chloroacetonitrile,C2H2ClN,30,1.424
chlorobenzene,C6H5Cl,5.62,1.525
chlorocyclohexane,C6H11Cl,7.6,1.462
"cis,cis-9,12-octadecadienoic acid",C18H32O2,2.71,1.4688
"cis-1,2-dichloroethene",C2H2Cl2,9.2,1.446
cis-3-octene,C8H16,2.06,1.4135
cis-decalin,C10H18,2.23,1.48
citraconic anhydride,C5H4O3,40.3,1.4717
copper(II) oxide,CuO,18.1,2.63
cumene,C9H12,2.38,1.491
cycloheptane,C7H14,2.08,1.445
cycloheptatriene,C7H8,2.54,1.517
cyclohexanamine,C6H13N,4.43,1.459
cyclohexane,C6H12,1.88,1.4262
cyclohexanecarboxylic acid,C7H12O2,2.67,1.4538
cyclohexanol,C6H12O,15,1.466
cyclohexanone,C6H10O,18.2,1.448
cyclohexene,C6H10,2.22,1.447
cyclohexyl acetate,C8H14O2,5.08,1.442
cyclohexylmethanol,C7H14O,9.7,1.464
cyclooctane,C8H16,2.12,1.459
cyclooctatetraene,C8H8,2.46,1.538
cyclopentane,C5H10,1.84,1.4064
cyclopentanol,C5H10O,18,1.4532
cyclopentanone,C5H8O,14.45,1.437
d-carvone,C10H14O,11,1.497
d-limonene,C10H16,2.36,1.4749
decamethylcyclopentasiloxane,C10H30O5Si5,2.5,1.3982
decamethyltetrasiloxane,C10H30O3Si4,2.39,1.3895
decane,C10H22,1.95,1.408
decanol,C10H22O,8.1,1.4366
di-n-butyl sulfide,C8H18S,4.41,1.452
di-tert-butyl ether,C8H18O,3.05,1.394
